Semyazino Airport;56.1170965;56.1371383;40.3027033;40.3274149
Yeysk Airport;46.673104;46.7003009;38.1648345;38.2567741
Lavrentiya Airport;65.5748131;65.5873557;-171.0076722;-170.9906164
Magas Airport;43.3084249;43.3269701;44.9865413;45.0378157
Krasnokamensk Airport;50.0181078;50.0481078;118.046142;118.076142
Vuktyl Airport;63.8145208;63.8319956;57.2763787;57.2868078
Berezniki Airport;59.5687596;59.5897581;56.8480866;56.8678167
Tarko-Sale Airport;64.9165668;64.9411535;77.7853651;77.8317485
Achinsk Airport;56.2679738;56.2720734;90.5558371;90.5969502
Kyzyl-Syr Airport;63.87665;63.8969137;122.7659404;122.7850179
Vilyuisk Airport;63.7522214;63.760357;121.6710533;121.7129502
Belaya Gora Airport;68.5494695;68.5637187;146.204665;146.2568467
Kamenny Ruchey Naval Air Base;68.5494695;68.5637187;146.204665;146.2568467
Maygatka Airport.;68.5494695;68.5637187;146.204665;146.2568467
Omsukchan Airport;62.4485247;62.4688986;155.7335463;155.759739
Chaybukha Airport;61.8288422;61.8430638;160.5259764;160.5717885
Keperveem Airport;61.8288422;61.8430638;160.5259764;160.5717885
Magadan-13 Airport;59.6160583;59.630924;150.9141349;150.9272833
Nikolayevsk-na-Amure Airport;53.148601;53.1572872;140.6299609;140.6689858
Palana Airport;59.0790518;59.0857551;159.872845;159.9075115
Zheleznogorsk Airport;56.4840655;56.4890281;104.0896102;104.1157537
Severomorsk-1 Naval Air Base;69.0154012;69.0507217;33.3893934;33.4670972
Pushkin Airport;59.6699074;59.7022925;30.3159352;30.3622868
Siversky Air Base;59.3471504;59.3677428;30.0040991;30.055656
Staraya Russa Air Base;59.3471504;59.3677428;30.0040991;30.055656
Peski Airport;61.8290358;61.8373087;34.2859424;34.3093178
Severo-Eniseysk Airport;60.3659062;60.3807295;93.0004644;93.0232421
Sharypovo Airport;55.4418515;55.4718515;89.1577274;89.1877274
Omsk Severny Airport;55.4418515;55.4718515;89.1577274;89.1877274
Nagurskoye;55.4418515;55.4718515;89.1577274;89.1877274
Svetlogorsk Airport;66.8393686;66.8439044;88.378417;88.4269078
Valek Airport;66.8393686;66.8439044;88.378417;88.4269078
Khanskaya Air Base;66.8393686;66.8439044;88.378417;88.4269078
Dudinka Airport;69.3667973;69.3889159;86.1395569;86.1792691
Volgodonsk Airport;69.3667973;69.3889159;86.1395569;86.1792691
Myachkovo Airport;55.5567725;55.5691809;37.9703386;37.9974214
Tretyakovo Airport;55.5567725;55.5691809;37.9703386;37.9974214
Yermolino Airport;55.5567725;55.5691809;37.9703386;37.9974214
Inta Airport;-43.2405518;-43.2246528;-65.3431844;-65.3032996
Izhma Airport;65.0234881;65.0409117;53.9594948;53.9787648
Borisoglebskoye Airport;55.850728;55.8783414;49.1002162;49.1630428
Zhigansk Airport;66.78146;66.8082408;123.3486909;123.3802464
Maksimovka Airport;48.4719541;48.5019541;35.612521;35.642521
Buguruslan Severny Airport;53.703399;53.733399;52.3568987;52.3868987
Bezymyanka Airfield;53.703399;53.733399;52.3568987;52.3868987
Soltsy-2 Air Base;58.1265238;58.1473887;30.3047228;30.3534221
Severomorsk-3 Naval Air Base;68.8421588;68.8798113;33.6879853;33.7327255
Fedotovo Naval Air Base;59.15995;59.219431;39.1194113;39.1620691
Lebyazhye Air Base;50.1811286;50.2182934;45.1785665;45.2256661
Smolensk North Airport;54.8168028;54.828444;31.9968416;32.051578
